Date,Price,Status,Keywords
2008-08,195.9623439,1,"russia,georgia,us,war,russian,south,ossetia,georgian,militari,kill,olymp,nato,new,attack,israel,isra,world,year,missil"
2008-09,176.3746948,0,"us,pakistan,russia,kill,venezuela,russian,war,iran,attack,nuclear,troop,israel,new,bomb,world,china,pakistani,georgia,offici"
2008-10,139.1830695,0,"us,world,uk,year,new,govern,bank,crisi,china,kill,peopl,war,attack,terror,get,call,death,pakistan,nation"
2008-11,114.8520638,0,"israel,us,year,attack,pirat,kill,war,mumbai,presid,russia,isra,world,two,gaza,russian,govern,afghanistan,un,pakistan"
2008-12,98.24138826,0,"israel,attack,pakistan,year,gaza,mumbai,time,kill,isra,world,polic,us,govern,uk,china,riot,call,terrorist,india"
2009-01,102.4871538,1,"gaza,israel,isra,kill,palestinian,un,war,children,call,us,use,attack,year,crime,bomb,one,school,time,civilian"
2009-02,98.15756931,0,"israel,us,gaza,isra,war,afghanistan,state,uk,countri,govern,peopl,attack,pakistan,polic,kill,year,first,iran,use"
2009-03,100.136529,1,"israel,isra,gaza,us,war,new,china,year,bank,polic,iran,world,kill,uk,one,pope,pakistan,attack,obama"
2009-04,104.1580157,1,"polic,israel,pirat,year,isra,protest,palestinian,flu,video,us,world,govern,law,swine,kill,peopl,new,plan,countri"
2009-05,114.9338088,1,"world,israel,isra,us,year,kill,war,peopl,forc,korea,report,iran,sri,countri,pakistan,presid,palestinian,one,attack"
2009-06,128.3075973,1,"iran,iranian,protest,elect,isra,us,world,israel,korea,polic,kill,north,peopl,ahmadinejad,countri,war,franc,one,govern"
2009-07,123.522563,0,"israel,iran,isra,year,us,polic,govern,kill,protest,peopl,china,gaza,death,two,countri,war,uk,children,old"
2009-08,132.9120027,1,"year,us,isra,govern,uk,israel,polic,state,woman,china,right,peopl,kill,attack,presid,iran,death,rape,palestinian"
2009-09,127.5518596,0,"new,year,war,israel,us,isra,one,peopl,polic,kill,countri,govern,human,world,report,right,south,china,attack"
2009-10,134.8064609,1,"year,kill,war,israel,countri,nuclear,world,peopl,uk,iran,one,govern,new,us,face,polic,two,right,nation"
2009-11,140.8515769,1,"new,year,israel,peopl,war,kill,world,us,palestinian,uk,countri,nation,state,govern,china,isra,right,afghanistan,british"
2009-12,140.8145344,0,"kill,year,israel,world,polic,attack,us,peopl,war,right,isra,iran,state,new,one,death,report,govern,law"
2010-01,146.0524709,1,"haiti,china,year,israel,war,us,govern,polic,countri,kill,peopl,iraq,one,uk,world,attack,earthquak,right,man"
2010-02,142.376425,0,"israel,iran,govern,year,isra,war,us,kill,dubai,hama,one,china,new,uk,peopl,world,british,palestinian,assassin"
2010-03,148.8207152,1,"israel,isra,year,us,kill,world,china,one,new,palestinian,govern,war,abus,peopl,countri,polic,uk,home,ban"
2010-04,157.9309162,1,"us,palestinian,kill,video,israel,isra,wikileak,abus,uk,year,china,attack,new,world,forc,ban,two,peopl,bank"
2010-05,146.6609286,0,"israel,year,war,oil,korea,world,attack,one,govern,kill,right,us,isra,new,presid,bank,peopl,iran,uk"
2010-06,143.6808982,0,"israel,gaza,isra,us,kill,world,year,flotilla,raid,new,ship,oil,peopl,minist,use,govern,one,intern,north"
2010-07,144.2487702,1,"israel,us,war,kill,isra,year,one,world,militari,afghanistan,china,countri,wikileak,uk,iran,said,peopl,palestinian,new"
2010-08,148.5796884,1,"israel,isra,year,iran,war,us,china,kill,peopl,palestinian,polic,attack,death,two,new,world,drug,north,children"
2010-09,150.3749141,1,"kill,israel,war,us,isra,year,state,china,presid,palestinian,world,attack,govern,countri,militari,one,bank,iraq,leader"
2010-10,159.6011436,1,"us,israel,year,isra,world,protest,war,kill,china,new,polic,use,attack,state,iraq,militari,palestinian,presid,first"
2010-11,165.005917,1,"year,govern,south,korea,china,wikileak,us,countri,north,new,world,one,peopl,korean,uk,war,time,isra,kill"
2010-12,174.9592492,1,"wikileak,assang,us,govern,cabl,julian,polic,war,protest,korea,israel,state,year,law,kill,right,china,presid,bank"
2011-01,182.3676347,1,"protest,egypt,us,wikileak,govern,palestinian,year,tunisia,countri,egyptian,peopl,china,isra,israel,world,kill,polic,state,new"
2011-02,190.2225619,1,"protest,egypt,mubarak,egyptian,libya,govern,peopl,al,bahrain,us,year,forc,presid,day,call,kill,demonstr,new,attack,countri"
2011-03,199.852422,1,"japan,libya,protest,nuclear,gaddafi,forc,libyan,us,rebel,plant,one,power,govern,polic,fukushima,reactor,peopl,new,kill"
2011-04,210.3752917,1,"protest,kill,fukushima,japan,polic,govern,forc,nuclear,syrian,right,world,year,new,china,two,rebel,syria,attack,one"
2011-05,199.5094959,0,"kill,laden,bin,protest,osama,nuclear,govern,pakistan,death,forc,attack,year,us,fukushima,china,polic,japan,may,dead"
2011-06,196.0942849,0,"govern,china,protest,year,polic,new,nuclear,kill,state,forc,peopl,world,countri,offici,us,chines,syrian,greec,food"
2011-07,199.1095632,1,"news,murdoch,hack,world,polic,phone,protest,us,govern,kill,intern,year,china,norway,report,countri,peopl,rupert,attack"
2011-08,190.657713,0,"kill,protest,riot,china,rebel,year,govern,polic,new,countri,news,peopl,forc,world,use,london,israel,libyan,libya"
2011-09,188.8038077,0,"china,israel,year,world,bank,state,govern,un,palestinian,us,amp,chines,presid,al,kill,new,peopl,report,news"
2011-10,182.9362358,0,"protest,new,kill,year,polic,china,govern,us,peopl,court,world,offici,amp,nation,state,forc,israel,countri,oil"
2011-11,186.3999029,1,"year,china,iran,protest,new,kill,news,countri,militari,nuclear,call,govern,peopl,israel,minist,world,right,report,egypt"
2011-12,184.1482832,0,"protest,china,new,kill,govern,russia,oil,countri,world,iran,polic,us,amp,forc,russian,peopl,chines,war,korea"
2012-01,188.4902515,1,"iran,kill,amp,govern,year,china,oil,new,us,peopl,report,india,countri,war,eu,protest,nuclear,state,right"
2012-02,195.9780294,1,"iran,kill,syria,presid,year,china,nuclear,protest,countri,world,peopl,new,amp,syrian,right,call,us,war,europ"
2012-03,201.8298615,1,"year,china,iran,govern,polic,world,right,presid,nuclear,one,forc,countri,new,syrian,kill,war,peopl,north,israel"
2012-04,197.5468414,0,"north,korea,china,new,world,peopl,call,uk,war,year,countri,israel,us,news,presid,law,drug,one,iran"
2012-05,185.2181241,0,"year,kill,new,countri,polic,protest,china,parti,us,pirat,world,south,amp,greek,war,elect,strike,govern,bank"
2012-06,170.0369951,0,"year,china,new,amp,govern,syria,protest,kill,polic,countri,news,attack,syrian,offici,assang,one,militari,peopl,forc"
2012-07,178.0983461,1,"year,syria,olymp,drug,new,bank,govern,isra,protest,kill,us,world,china,peopl,polic,libor,india,presid,uk"
2012-08,185.6854334,1,"kill,us,attack,assang,year,new,polic,amp,iran,countri,world,israel,protest,use,arrest,isra,syria,uk,death"
